Variável;Descrição sobre as variáveis;Construto
VAR01;Quantidade de diferentes locais (IP´s) a partir dos quais a(o) aluna(o) acessou o ambiente.;Estrut. do ambiente
VAR02;Quantidade de mensagens enviadas por aluna(o) às(os) Professoras(es) pelo ambiente.;Busca por Ajuda
VAR03;Quantidade de mensagens enviadas por aluna(o) às(os) Tutor(es) pelo ambiente.;Busca por Ajuda
VAR04;Quantidade geral de mensagens enviadas pela(o) aluna(o) dentro do ambiente.;Busca por Ajuda
VAR05;Quantidade geral de mensagens recebidas pela(o) aluna(o) dentro do ambiente.;Busca por Ajuda
VAR10;Quantidade de colegas diferentes para quem o(a) aluno(a) enviou mensagens dentro do ambiente.;Busca por Ajuda
VAR12;"Quantidade de visualizações da aba ""Conteúdo"" do curso, onde constam os arquivos com o conteúdo programático do curso";Estratégia de Realização de Tarefas
VAR16;"Quantidade de atividades entregues por um(a) aluno(a) fora do prazo, por disciplina;";Estratégia de Realização de Tarefas
VAR18;"Quantidade de leituras feitas ao fórum (pageviews);";Estratégia de Realização de Tarefas
VAR20;"Quantidade de respostas ao tópico principal (refazer opinião em fórum);";Autoavaliação
VAR21;"Quantidade de pageviews ao quadro de notas;";Autoavaliação
VAR22;Quantidade de vezes que o aluno visualiza o (Cheklist Atividades);Autoavaliação
VAR24;Média semanal da quantidade de acessos de um(a) aluno(a) ao ambiente.;Gestão do Tempo
VAR25;"Tempo médio entre a criação de um tópico no fórum temático e a primeira postagem do aluno;";Gestão do Tempo
VAR28;"Quantidades de Time Out;";Gestão do Tempo
VAR31;Quantidade de acessos do(a) aluno(a) ao ambiente.;Gestão do Tempo
VAR31b;Quantidade de dias distintos que o aluno entrou na disciplina;Gestão do Tempo
VAR31c;Quantidade de dias distintos que o aluno entrou na plataforma;Gestão do Tempo
VAR32a;Quantidade de acessos do(a) aluno(a) ao ambiente por turno (Manhã).;Gestão do Tempo
VAR32b;Quantidade de acessos do(a) aluno(a) ao ambiente por turno (Tarde).;Gestão do Tempo
VAR32c;Quantidade de acessos do(a) aluno(a) ao ambiente por turno (Noite).;Gestão do Tempo
VAR33;"Quantidade de atividades entregues por um(a) aluno(a) no prazo, por disciplina;";Estabelecimento de metas
VAR34;Quantidade geral de postagens de um(a) aluno(a) em fóruns.;Estabelecimento de metas
