"ID","INDICADOR","CONSTRUTOS"
"var01","Média semanal da quantidade de acessos do aluno ao ambiente no semestre.","AUTONOMIA"
"var02","Quantidade de acessos do aluno ao ambiente por turno (Manhã), por semestre.","AUTONOMIA"
"var03","Quantidade de acessos do aluno ao ambiente por turno (Tarde), por semestre.","AUTONOMIA"
"var10","Quantidade de acessos do aluno aos diferentes tipos de atividades disponibilizadas), por disciplina.","AUTONOMIA"
"var11","Média semanal da quantidade de mensagens enviadas pelo aluno dentro do ambiente, por semestre.","AUTONOMIA"
"var12","Quantidade de acessos do aluno aos fóruns, por disciplina.","AUTONOMIA"
"var13","Quantidade geral de postagens do aluno em fóruns, por disciplina.","DIÁLOGO"
"var16","Quantidade geral de mensagens enviadas pelo aluno dentro do ambiente, por semestre.","DIÁLOGO"
"var17","Quantidade geral de mensagens recebidas pelo aluno dentro do ambiente, por semestre.","DIÁLOGO"
"var18","Quantidade de colegas diferentes para quem o aluno enviou mensagens no ambiente, por semestre.","DIÁLOGO"
"var19","Quantidade de mensagens dos professores recebidas pelo aluno no ambiente, por semestre.","DIÁLOGO"
"var20","Quantidade de mensagens de colegas recebidas pelo aluno no ambiente, por semestre.","DIÁLOGO"
"var21","Quantidade de mensagens enviadas pelo aluno para outros colegas no ambiente, por semestre.","DIÁLOGO"
"var26","Quantidade geral de recursos disponibilizados pelo professor (pagina web, vídeo, pdfs, etc.) por disciplina.","ESTRUTURA"
"var27","Quantidade geral de atividades disponibilizadas (webquest, forum, quiz, etc.) pelo professor por disciplina.","ESTRUTURA"
"var29","Quantidade de fóruns de discussão disponibilizados sobre os conteúdos por disciplina.","ESTRUTURA"
