"Variável";"Descrição";"Construto"
"VAR01";"Média semanal da quantidade de acessos do aluno ao ambiente no semestre.";"Autonomia"
"VAR02";"Quantidade de acessos do aluno ao ambiente por turno (Manhã), por semestre.";"Autonomia"
"VAR03";"Quantidade de acessos do aluno ao ambiente por turno (Tarde), por semestre.";"Autonomia"
"VAR10";"Quantidade de acessos do aluno aos diferentes tipos de atividades disponibilizadas), por disciplina.";"Autonomia"
"VAR11";"Média semanal da quantidade de mensagens enviadas pelo aluno dentro do ambiente, por semestre.";"Autonomia"
"VAR12";"Quantidade de acessos do aluno aos fóruns, por disciplina.";"Autonomia"
"VAR13";"Quantidade geral de postagens do aluno em fóruns, por disciplina.";"Diálogo"
"VAR16";"Quantidade geral de mensagens enviadas pelo aluno dentro do ambiente, por semestre.";"Diálogo"
"VAR17";"Quantidade geral de mensagens recebidas pelo aluno dentro do ambiente, por semestre.";"Diálogo"
"VAR18";"Quantidade de colegas diferentes para quem o aluno enviou mensagens no ambiente, por semestre.";"Diálogo"
"VAR19";"Quantidade de mensagens dos professores recebidas pelo aluno no ambiente, por semestre.";"Diálogo"
"VAR20";"Quantidade de mensagens de colegas recebidas pelo aluno no ambiente, por semestre.";"Diálogo"
"VAR21";"Quantidade de mensagens enviadas pelo aluno para outros colegas no ambiente, por semestre.";"Diálogo"
"VAR26";"Quantidade geral de recursos disponibilizados pelo professor (pagina web, vídeo, pdfs, etc.) por disciplina.";"Estrutura"
"VAR27";"Quantidade geral de atividades disponibilizadas (webquest, forum, quiz, etc.) pelo professor por disciplina.";"Estrutura"
"VAR29";"Quantidade de fóruns de discussão disponibilizados sobre os conteúdos por disciplina.";"Estrutura"
